tirePopperCarId;Time Survived;Kills;Rank;Used Nitros;Damaged Tires;
0;2;0;12;1;2;
6;57;2;2;1;7;
11;57;2;1;3;4;
14;30;1;4;0;2;
3;15;0;6;1;0;
4;60;1;1;0;5;
12;37;2;5;0;8;
14;60;1;1;1;2;
7;14;0;5;1;7;
9;4;1;11;1;4;
10;18;1;3;0;1;
15;10;0;7;0;4;
0;15;1;4;1;3;
10;28;0;3;1;5;
12;7;1;8;0;8;
13;0;0;15;0;0;
1;7;1;9;0;8;
4;11;0;6;0;5;
14;60;1;1;1;1;
15;43;2;4;0;11;
1;15;0;7;1;2;
4;52;2;3;0;9;
13;60;2;1;3;9;
14;12;1;8;1;7;
0;1;1;12;0;5;
3;6;4;7;0;17;
7;2;1;11;1;11;
13;19;2;4;0;14;
3;26;1;3;1;5;
5;18;1;4;0;6;
6;60;1;1;0;2;
14;4;4;9;0;18;
1;10;1;7;0;7;
2;8;0;9;0;1;
5;20;1;4;0;7;
9;4;1;12;0;5;
2;10;0;7;0;4;
3;34;2;3;1;11;
4;1;0;13;0;0;
14;2;1;10;0;10;
3;2;0;13;0;0;
10;4;0;9;0;7;
14;24;4;4;2;20;
15;30;3;3;1;24;
3;1;0;13;1;1;
4;2;0;11;1;0;
13;15;0;5;1;9;
14;0;0;15;0;1;
1;7;1;9;0;14;
4;18;1;5;1;6;
7;37;3;1;0;12;
9;2;0;15;1;2;
1;11;3;3;0;8;
9;5;0;9;0;4;
12;8;1;6;0;7;
14;2;1;13;0;7;
0;56;3;1;1;12;
6;56;3;2;2;12;
9;2;3;9;0;14;
10;16;2;4;0;12;
0;22;1;4;2;9;
4;0;0;16;0;0;
7;3;0;11;0;7;
15;34;2;3;3;6;
3;0;0;14;1;1;
5;4;1;8;0;10;
11;0;1;15;0;5;
15;9;0;6;0;6;
6;27;5;1;2;16;
8;0;0;15;0;0;
10;4;0;11;0;1;
12;7;2;8;0;14;
0;4;1;8;0;4;
4;60;2;1;2;21;
12;9;1;6;1;10;
13;60;2;1;4;12;
